Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,26,23,1,34
2,26,23,1,34
3,25,24,1,34
4,22,27,2,34
5,21,28,3,34
6,19,30,4,34
7,17,32,5,34
8,13,36,7,34
9,13,36,7,34
10,13,36,7,34
11,12,37,7,34
12,10,39,7,34
13,8,41,8,34
14,8,41,8,34
15,7,42,8,34
16,7,42,8,34
17,7,42,8,34
18,7,42,8,34
19,7,42,8,34
20,7,42,8,34
21,6,43,8,34
22,6,43,8,34
23,5,44,8,34
24,5,44,8,34
25,5,44,8,34
26,4,45,9,34
27,4,45,9,34
28,4,45,9,34
29,4,45,9,34
30,4,45,9,34
31,3,46,9,34
32,3,46,9,34
33,2,47,10,34
34,2,47,10,34
35,2,47,10,34
36,2,47,10,34
37,2,47,10,34
38,2,47,10,34
39,1,48,10,34
40,1,48,10,34
41,1,48,10,34
42,1,48,10,34
43,0,49,10,34
44,0,49,10,34
45,0,49,10,34
46,0,49,10,34
47,0,49,10,34
48,0,49,10,34
49,0,49,10,34
50,0,49,10,34
51,0,49,10,34
52,0,49,10,34
53,0,49,10,34
54,0,49,10,34
55,0,49,10,34
56,0,49,10,34
57,0,49,10,34
58,0,49,10,34
59,0,49,10,34
60,0,49,10,34
61,0,49,10,34
62,0,49,10,34
63,0,49,10,34
64,0,49,10,34
65,0,49,10,34
66,0,49,10,34
67,0,49,10,34
68,0,49,10,34
69,0,49,10,34
70,0,49,10,34
71,0,49,10,34
72,0,49,10,34
73,0,49,10,34
74,0,49,10,34
75,0,49,10,34
76,0,49,10,34
77,0,49,10,34
78,0,49,10,34
79,0,49,10,34
80,0,49,10,34
81,0,49,10,34
82,0,49,10,34
83,0,49,10,34
84,0,49,10,34
85,0,49,10,34
86,0,49,10,34
87,0,49,10,34
88,0,49,10,34
89,0,49,10,34
90,0,49,10,34
91,0,49,10,34
92,0,49,10,34
93,0,49,10,34
94,0,49,10,34
95,0,49,10,34
96,0,49,10,34
97,0,49,10,34
98,0,49,10,34
99,0,49,10,34
100,0,49,10,34
101,0,49,10,34
102,0,49,10,34
103,0,49,10,34
104,0,49,10,34
105,0,49,10,34
106,0,49,10,34
107,0,49,10,34
108,0,49,10,34
109,0,49,10,34
110,0,49,10,34
111,0,49,10,34
112,0,49,10,34
113,0,49,10,34
114,0,49,10,34
115,0,49,10,34
116,0,49,10,34
117,0,49,10,34
118,0,49,10,34
119,0,49,10,34
120,0,49,10,34
121,0,49,10,34
122,0,49,10,34
123,0,49,10,34
124,0,49,10,34
125,0,49,10,34
126,0,49,10,34
127,0,49,10,34
128,0,49,10,34
129,0,49,10,34
130,0,49,10,34
131,0,49,10,34
132,0,49,10,34
133,0,49,10,34
134,0,49,10,34
135,0,49,10,34
136,0,49,10,34
137,0,49,10,34
138,0,49,10,34
139,0,49,10,34
140,0,49,10,34
141,0,49,10,34
142,0,49,10,34
143,0,49,10,34
144,0,49,10,34
145,0,49,10,34
146,0,49,10,34
147,0,49,10,34
148,0,49,10,34
149,0,49,10,34
150,0,49,10,34
151,0,49,10,34
152,0,49,10,34
153,0,49,10,34
154,0,49,10,34
155,0,49,10,34
156,0,49,10,34
157,0,49,10,34
158,0,49,10,34
159,0,49,10,34
160,0,49,10,34
161,0,49,10,34
162,0,49,10,34
163,0,49,10,34
164,0,49,10,34
165,0,49,10,34
166,0,49,10,34
167,0,49,10,34
168,0,49,10,34
169,0,49,10,34
170,0,49,10,34
171,0,49,10,34
172,0,49,10,34
173,0,49,10,34
174,0,49,10,34
175,0,49,10,34
176,0,49,10,34
177,0,49,10,34
178,0,49,10,34
179,0,49,10,34
180,0,49,10,34
181,0,49,10,34
182,0,49,10,34
183,0,49,10,34
184,0,49,10,34
185,0,49,10,34
186,0,49,10,34
187,0,49,10,34
188,0,49,10,34
189,0,49,10,34
190,0,49,10,34
191,0,49,10,34
192,0,49,10,34
193,0,49,10,34
194,0,49,10,34
195,0,49,10,34
196,0,49,10,34
197,0,49,10,34
198,0,49,10,34
199,0,49,10,34
200,1,48,9,34
201,1,48,9,34
202,1,48,9,34
203,2,47,8,34
204,2,47,8,34
205,4,45,6,34
206,5,44,5,34
207,6,43,3,34
208,7,42,3,34
209,6,43,3,34
210,7,42,3,34
211,6,43,4,34
212,8,41,2,34
213,8,41,2,34
214,8,41,2,34
215,8,41,2,34
216,8,41,2,34
217,8,41,2,34
218,8,41,2,34
219,6,43,2,34
220,8,41,2,34
221,7,42,3,34
222,8,41,2,34
223,8,41,2,34
224,8,41,2,34
225,9,40,1,34
226,9,40,1,34
227,9,40,1,34
228,9,40,1,34
229,9,40,1,34
230,8,41,2,34
231,9,40,1,34
232,9,40,0,34
233,10,39,0,34
234,10,39,0,34
235,10,39,0,34
236,10,39,0,34
237,9,40,0,34
238,10,39,0,34
239,10,39,0,34
240,9,40,0,34
241,10,39,0,34
242,10,39,0,34
243,10,39,0,34
244,9,40,1,34
245,10,39,0,34
246,9,40,1,34
247,9,40,0,34
248,10,39,0,34
249,10,39,0,34
250,9,40,1,34
251,8,41,2,34
252,10,39,0,34
253,10,39,0,34
254,10,39,0,34
255,10,39,0,34
256,10,39,0,34
257,9,40,1,34
258,9,40,1,34
259,9,40,1,34
260,9,40,1,34
261,10,39,0,34
262,9,40,1,34
263,9,40,0,34
264,10,39,0,34
265,6,43,4,34
266,10,39,0,34
267,10,39,0,34
268,10,39,0,34
269,10,39,0,34
270,9,40,1,34
271,10,39,0,34
272,9,40,1,34
273,10,39,0,34
274,10,39,0,34
275,10,39,0,34
276,10,39,0,34
277,9,40,0,34
278,9,40,1,34
279,10,39,0,34
280,9,40,1,34
281,10,39,0,34
282,9,40,0,34
283,10,39,0,34
284,10,39,0,34
285,9,40,0,34
286,9,40,1,34
287,8,41,2,34
288,10,39,0,34
289,10,39,0,34
290,10,39,0,34
291,9,40,1,34
292,10,39,0,34
293,8,41,2,34
294,9,40,1,34
295,10,39,0,34
296,9,40,1,34
297,9,40,1,34
298,10,39,0,34
299,10,39,0,34
300,10,39,0,34
301,10,39,0,34
302,10,39,0,34
303,10,39,0,34
304,9,40,0,34
305,10,39,0,34
306,9,40,1,34
307,9,40,1,34
308,9,40,1,34
309,10,39,0,34
310,10,39,0,34
311,10,39,0,34
312,10,39,0,34
313,10,39,0,34
314,9,40,1,34
315,9,40,1,34
316,10,39,0,34
317,10,39,0,34
318,9,40,0,34
319,9,40,0,34
320,9,40,1,34
321,10,39,0,34
322,10,39,0,34
