Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,28,21,0,29
2,28,21,0,29
3,28,21,0,29
4,28,21,0,29
5,28,21,0,29
6,28,21,0,29
7,28,21,0,29
8,28,21,0,29
9,28,21,0,29
10,28,21,0,29
11,28,21,0,29
12,28,21,0,29
13,28,21,0,29
14,28,21,0,29
15,28,21,0,29
16,27,22,0,29
17,26,23,0,29
18,26,23,0,29
19,25,24,1,29
20,25,24,1,29
21,25,24,1,29
22,25,24,1,29
23,25,24,1,29
24,22,27,3,29
25,21,28,3,29
26,21,28,3,29
27,21,28,3,29
28,21,28,3,29
29,21,28,3,29
30,21,28,3,29
31,21,28,3,29
32,21,28,3,29
33,21,28,3,29
34,20,29,3,29
35,20,29,3,29
36,20,29,3,29
37,20,29,3,29
38,20,29,3,29
39,20,29,3,29
40,20,29,3,29
41,19,30,3,29
42,18,31,3,29
43,17,32,3,29
44,17,32,3,29
45,17,32,3,29
46,17,32,3,29
47,17,32,3,29
48,17,32,3,29
49,16,33,4,29
50,16,33,4,29
51,16,33,4,29
52,16,33,4,29
53,16,33,4,29
54,16,33,4,29
55,16,33,4,29
56,16,33,4,29
57,16,33,4,29
58,16,33,4,29
59,16,33,4,29
60,16,33,4,29
61,16,33,4,29
62,16,33,4,29
63,16,33,4,29
64,16,33,4,29
65,16,33,4,29
66,16,33,4,29
67,16,33,4,29
68,16,33,4,29
69,16,33,4,29
70,16,33,4,29
71,15,34,4,29
72,14,35,4,29
73,13,36,4,29
74,13,36,4,29
75,13,36,4,29
76,13,36,4,29
77,13,36,4,29
78,13,36,4,29
79,13,36,4,29
80,13,36,4,29
81,13,36,4,29
82,13,36,4,29
83,13,36,4,29
84,13,36,4,29
85,13,36,4,29
86,13,36,4,29
87,13,36,4,29
88,12,37,4,29
89,12,37,4,29
90,12,37,4,29
91,12,37,4,29
92,12,37,4,29
93,12,37,4,29
94,12,37,4,29
95,12,37,4,29
96,12,37,4,29
97,12,37,4,29
98,12,37,4,29
99,12,37,4,29
100,12,37,4,29
101,12,37,4,29
102,11,38,4,29
103,11,38,4,29
104,11,38,4,29
105,11,38,4,29
106,11,38,4,29
107,11,38,4,29
108,11,38,4,29
109,11,38,4,29
110,11,38,4,29
111,11,38,4,29
112,11,38,4,29
113,11,38,4,29
114,11,38,4,29
115,11,38,4,29
116,10,39,5,29
117,10,39,5,29
118,10,39,5,29
119,10,39,5,29
120,10,39,5,29
121,10,39,5,29
122,10,39,5,29
123,10,39,5,29
124,10,39,5,29
125,10,39,5,29
126,10,39,5,29
127,10,39,5,29
128,10,39,5,29
129,10,39,5,29
130,10,39,5,29
131,10,39,5,29
132,9,40,6,29
133,9,40,6,29
134,9,40,6,29
135,9,40,6,29
136,9,40,6,29
137,9,40,6,29
138,9,40,6,29
139,9,40,6,29
140,9,40,6,29
141,9,40,6,29
142,9,40,6,29
143,9,40,6,29
144,9,40,6,29
145,9,40,6,29
146,9,40,6,29
147,9,40,6,29
148,9,40,6,29
149,9,40,6,29
150,9,40,6,29
151,9,40,6,29
152,9,40,6,29
153,9,40,6,29
154,9,40,6,29
155,9,40,6,29
156,9,40,6,29
157,9,40,6,29
158,9,40,6,29
159,9,40,6,29
160,9,40,6,29
161,9,40,6,29
162,9,40,6,29
163,9,40,6,29
164,9,40,6,29
165,9,40,6,29
166,9,40,6,29
167,9,40,6,29
168,9,40,6,29
169,9,40,6,29
170,9,40,6,29
171,9,40,6,29
172,9,40,6,29
173,9,40,6,29
174,9,40,6,29
175,9,40,6,29
176,9,40,6,29
177,9,40,6,29
