Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,26,23,0,32
2,26,23,0,32
3,26,23,0,32
4,25,24,0,32
5,25,24,0,32
6,25,24,0,32
7,25,24,0,32
8,25,24,0,32
9,25,24,0,32
10,25,24,0,32
11,25,24,0,32
12,25,24,0,32
13,25,24,0,32
14,25,24,0,32
15,25,24,0,32
16,24,25,0,32
17,23,26,1,32
18,23,26,1,32
19,23,26,1,32
20,23,26,1,32
21,23,26,1,32
22,23,26,1,32
23,22,27,1,32
24,22,27,1,32
25,22,27,1,32
26,22,27,1,32
27,22,27,1,32
28,22,27,1,32
29,22,27,1,32
30,21,28,1,32
31,21,28,1,32
32,21,28,1,32
33,21,28,1,32
34,21,28,1,32
35,21,28,1,32
36,21,28,1,32
37,21,28,1,32
38,21,28,1,32
39,21,28,1,32
40,19,30,2,32
41,18,31,2,32
42,18,31,2,32
43,18,31,2,32
44,18,31,2,32
45,18,31,2,32
46,17,32,2,32
47,17,32,2,32
48,17,32,2,32
49,17,32,2,32
50,17,32,2,32
51,17,32,2,32
52,17,32,2,32
53,17,32,2,32
54,17,32,2,32
55,17,32,2,32
56,17,32,2,32
57,16,33,3,32
58,16,33,3,32
59,16,33,3,32
60,16,33,3,32
61,16,33,3,32
62,16,33,3,32
63,16,33,3,32
64,15,34,3,32
65,15,34,3,32
66,14,35,4,32
67,14,35,4,32
68,13,36,5,32
69,13,36,5,32
70,13,36,5,32
71,13,36,5,32
72,12,37,5,32
73,11,38,5,32
74,11,38,5,32
75,11,38,5,32
76,11,38,5,32
77,11,38,5,32
78,11,38,5,32
79,11,38,5,32
80,11,38,5,32
81,11,38,5,32
82,11,38,5,32
83,11,38,5,32
84,11,38,5,32
85,11,38,5,32
86,11,38,5,32
87,11,38,5,32
88,11,38,5,32
89,11,38,5,32
90,11,38,5,32
91,11,38,5,32
92,11,38,5,32
93,11,38,5,32
94,11,38,5,32
95,11,38,5,32
96,11,38,5,32
97,11,38,5,32
98,11,38,5,32
99,11,38,5,32
100,11,38,5,32
101,11,38,5,32
102,11,38,5,32
103,11,38,5,32
104,11,38,5,32
105,11,38,5,32
106,11,38,5,32
107,10,39,5,32
108,10,39,5,32
109,10,39,5,32
110,10,39,5,32
111,10,39,5,32
112,10,39,5,32
113,10,39,5,32
114,10,39,5,32
115,10,39,5,32
116,10,39,5,32
117,10,39,5,32
118,10,39,5,32
119,10,39,5,32
120,10,39,5,32
121,10,39,5,32
122,10,39,5,32
123,10,39,5,32
124,10,39,5,32
125,10,39,5,32
126,10,39,5,32
127,10,39,5,32
128,10,39,5,32
129,9,40,5,32
130,9,40,5,32
131,9,40,5,32
132,9,40,5,32
133,9,40,5,32
134,9,40,5,32
135,9,40,5,32
136,9,40,5,32
137,8,41,5,32
138,8,41,5,32
139,8,41,5,32
140,8,41,5,32
141,8,41,5,32
142,8,41,5,32
143,7,42,5,32
144,7,42,5,32
145,7,42,5,32
146,7,42,5,32
147,7,42,5,32
148,7,42,5,32
149,6,43,5,32
150,6,43,5,32
151,6,43,5,32
152,6,43,5,32
153,6,43,5,32
154,6,43,5,32
155,6,43,5,32
156,6,43,5,32
157,6,43,5,32
158,6,43,5,32
159,6,43,5,32
160,6,43,5,32
161,6,43,5,32
162,6,43,5,32
163,6,43,5,32
164,6,43,5,32
165,5,44,5,32
166,5,44,5,32
167,5,44,5,32
168,5,44,5,32
169,5,44,5,32
170,5,44,5,32
171,5,44,5,32
172,5,44,5,32
173,5,44,5,32
174,5,44,5,32
175,5,44,5,32
176,5,44,5,32
177,5,44,5,32
178,5,44,5,32
179,5,44,5,32
180,5,44,5,32
181,5,44,5,32
182,5,44,5,32
183,5,44,5,32
184,5,44,5,32
185,5,44,5,32
186,5,44,5,32
187,5,44,5,32
188,5,44,5,32
189,5,44,5,32
190,5,44,5,32
191,5,44,5,32
192,5,44,5,32
193,5,44,5,32
194,5,44,5,32
195,5,44,5,32
196,5,44,5,32
197,5,44,5,32
198,5,44,5,32
199,5,44,5,32
200,5,44,5,32
201,5,44,5,32
202,5,44,5,32
203,5,44,5,32
204,5,44,5,32
205,5,44,5,32
206,5,44,5,32
207,5,44,5,32
208,5,44,5,32
209,5,44,5,32
210,5,44,5,32
211,5,44,5,32
212,5,44,5,32
213,5,44,5,32
214,5,44,5,32
215,5,44,5,32
216,5,44,5,32
217,5,44,5,32
218,5,44,5,32
219,5,44,5,32
220,5,44,5,32
221,5,44,5,32
222,5,44,5,32
223,5,44,5,32
224,5,44,5,32
225,5,44,5,32
226,5,44,5,32
227,5,44,5,32
228,5,44,5,32
229,5,44,5,32
230,5,44,5,32
231,5,44,5,32
232,5,44,5,32
233,5,44,5,32
234,5,44,5,32
235,5,44,5,32
236,5,44,5,32
237,5,44,5,32
238,5,44,5,32
239,5,44,5,32
240,5,44,5,32
241,5,44,5,32
242,5,44,5,32
243,5,44,5,32
244,5,44,5,32
245,5,44,5,32
246,5,44,5,32
247,5,44,5,32
248,5,44,5,32
249,5,44,5,32
250,5,44,5,32
251,5,44,5,32
252,5,44,5,32
253,5,44,5,32
254,5,44,5,32
255,5,44,5,32
256,5,44,5,32
257,5,44,5,32
258,5,44,5,32
259,5,44,5,32
260,5,44,5,32
261,5,44,5,32
262,5,44,5,32
263,5,44,5,32
264,5,44,5,32
265,5,44,5,32
266,5,44,5,32
267,5,44,5,32
268,5,44,5,32
269,5,44,5,32
270,5,44,5,32
271,5,44,5,32
272,5,44,5,32
273,5,44,5,32
274,5,44,5,32
275,5,44,5,32
276,5,44,5,32
277,5,44,5,32
278,5,44,5,32
279,5,44,5,32
280,5,44,5,32
281,5,44,5,32
282,5,44,5,32
283,5,44,5,32
284,5,44,5,32
285,5,44,5,32
286,5,44,5,32
287,5,44,5,32
288,5,44,5,32
289,5,44,5,32
290,5,44,5,32
291,5,44,5,32
292,5,44,5,32
293,5,44,5,32
294,5,44,5,32
295,4,45,5,32
296,4,45,5,32
297,4,45,5,32
298,4,45,5,32
299,4,45,5,32
