Time (in Seconds),Susceptible Agents,Infected Agents,Isolating Agents,Masked Agents
1,25,24,0,41
2,25,24,0,41
3,23,26,0,41
4,20,29,2,41
5,20,29,2,41
6,17,32,3,41
7,13,36,6,41
8,12,37,6,41
9,10,39,7,41
10,6,43,8,41
11,5,44,8,41
12,4,45,8,41
13,3,46,8,41
14,0,49,10,41
15,0,49,10,41
16,0,49,10,41
17,0,49,10,41
18,0,49,10,41
19,0,49,10,41
20,0,49,10,41
21,0,49,10,41
22,0,49,10,41
23,0,49,10,41
24,0,49,10,41
25,0,49,10,41
26,0,49,10,41
27,0,49,10,41
28,0,49,10,41
29,0,49,10,41
30,0,49,10,41
31,0,49,10,41
32,0,49,10,41
33,0,49,10,41
34,0,49,10,41
35,0,49,10,41
36,0,49,10,41
37,0,49,10,41
38,0,49,10,41
39,0,49,10,41
40,0,49,10,41
41,0,49,10,41
42,0,49,10,41
43,0,49,10,41
44,0,49,10,41
45,0,49,10,41
46,0,49,10,41
47,0,49,10,41
48,0,49,10,41
49,0,49,10,41
50,0,49,10,41
51,0,49,10,41
52,0,49,10,41
53,0,49,10,41
54,0,49,10,41
55,0,49,10,41
56,0,49,10,41
57,0,49,10,41
58,0,49,10,41
59,0,49,10,41
60,0,49,10,41
61,0,49,10,41
62,0,49,10,41
63,0,49,10,41
64,0,49,10,41
65,0,49,10,41
66,0,49,10,41
67,0,49,10,41
68,0,49,10,41
69,0,49,10,41
70,0,49,10,41
71,0,49,10,41
72,0,49,10,41
73,0,49,10,41
74,0,49,10,41
75,0,49,10,41
76,0,49,10,41
77,0,49,10,41
78,0,49,10,41
79,0,49,10,41
80,0,49,10,41
81,0,49,10,41
82,0,49,10,41
83,0,49,10,41
84,0,49,10,41
85,0,49,10,41
86,0,49,10,41
87,0,49,10,41
88,0,49,10,41
89,0,49,10,41
90,0,49,10,41
91,0,49,10,41
92,0,49,10,41
93,0,49,10,41
94,0,49,10,41
95,0,49,10,41
96,0,49,10,41
97,0,49,10,41
98,0,49,10,41
99,0,49,10,41
100,0,49,10,41
101,0,49,10,41
102,0,49,10,41
103,0,49,10,41
104,0,49,10,41
105,0,49,10,41
106,0,49,10,41
107,0,49,10,41
108,0,49,10,41
109,0,49,10,41
110,0,49,10,41
